sniffing_name, start_time, last_step_time, actual_time, duration_bt_start, duration_bt_step, nb_iters
Sniffeur,2025-04-29 20:36:57.031080,2025-04-29 20:36:57.816492,2025-04-29 20:36:57.816492,0:00:00.785412,0:00:00.201192, 40000
Sniffeur,2025-04-29 20:38:36.936898,2025-04-29 20:38:37.097644,2025-04-29 20:38:37.097644,0:00:00.160746,0:00:00.160746, 10000
Sniffeur,2025-04-29 20:38:36.936898,2025-04-29 20:38:37.263201,2025-04-29 20:38:37.263201,0:00:00.326303,0:00:00.165557, 20000
Sniffeur,2025-04-29 20:38:36.936898,2025-04-29 20:38:37.412871,2025-04-29 20:38:37.412871,0:00:00.475973,0:00:00.149670, 30000
Sniffeur,2025-04-29 20:38:36.936898,2025-04-29 20:38:37.613109,2025-04-29 20:38:37.613109,0:00:00.676211,0:00:00.200238, 40000
Sniffeur,2025-04-29 20:40:09.138903,2025-04-29 20:40:09.255721,2025-04-29 20:40:09.255721,0:00:00.116818,0:00:00.116818, 10000
Sniffeur,2025-04-29 20:40:09.138903,2025-04-29 20:40:09.395000,2025-04-29 20:40:09.395000,0:00:00.256097,0:00:00.139279, 20000
Sniffeur,2025-04-29 20:40:09.138903,2025-04-29 20:40:09.506340,2025-04-29 20:40:09.506340,0:00:00.367437,0:00:00.111340, 30000
Sniffeur,2025-04-29 20:40:09.138903,2025-04-29 20:40:09.654634,2025-04-29 20:40:09.654634,0:00:00.515731,0:00:00.148294, 40000
Sniffeur,2025-04-29 20:40:54.946758,2025-04-29 20:40:55.067442,2025-04-29 20:40:55.067442,0:00:00.120684,0:00:00.120684, 10000
Sniffeur,2025-04-29 20:40:54.946758,2025-04-29 20:40:55.179631,2025-04-29 20:40:55.179631,0:00:00.232873,0:00:00.112189, 20000
Sniffeur,2025-04-29 20:40:54.946758,2025-04-29 20:40:55.292125,2025-04-29 20:40:55.292125,0:00:00.345367,0:00:00.112494, 30000
Sniffeur,2025-04-29 20:40:54.946758,2025-04-29 20:40:55.435579,2025-04-29 20:40:55.435579,0:00:00.488821,0:00:00.143454, 40000
Sniffeur,2025-04-29 20:41:36.072386,2025-04-29 20:41:36.199289,2025-04-29 20:41:36.199289,0:00:00.126903,0:00:00.126903, 10000
Sniffeur,2025-04-29 20:41:36.072386,2025-04-29 20:41:36.332699,2025-04-29 20:41:36.332699,0:00:00.260313,0:00:00.133410, 20000
Sniffeur,2025-04-29 20:41:36.072386,2025-04-29 20:41:36.454261,2025-04-29 20:41:36.454261,0:00:00.381875,0:00:00.121562, 30000
Sniffeur,2025-04-29 20:41:36.072386,2025-04-29 20:41:36.595264,2025-04-29 20:41:36.595264,0:00:00.522878,0:00:00.141003, 40000
Sniffeur,2025-04-29 20:42:15.519910,2025-04-29 20:42:15.729375,2025-04-29 20:42:15.729375,0:00:00.209465,0:00:00.209465, 10000
Sniffeur,2025-04-29 20:42:15.519910,2025-04-29 20:42:15.952169,2025-04-29 20:42:15.952169,0:00:00.432259,0:00:00.222794, 20000
Sniffeur,2025-04-29 20:42:15.519910,2025-04-29 20:42:16.161775,2025-04-29 20:42:16.161775,0:00:00.641865,0:00:00.209606, 30000
Sniffeur,2025-04-29 20:42:15.519910,2025-04-29 20:42:16.382795,2025-04-29 20:42:16.382795,0:00:00.862885,0:00:00.221020, 40000
Sniffeur,2025-04-29 20:43:06.436634,2025-04-29 20:43:06.589207,2025-04-29 20:43:06.589207,0:00:00.152573,0:00:00.152573, 10000
Sniffeur,2025-04-29 20:43:06.436634,2025-04-29 20:43:06.765240,2025-04-29 20:43:06.765240,0:00:00.328606,0:00:00.176033, 20000
Sniffeur,2025-04-29 20:43:06.436634,2025-04-29 20:43:06.930680,2025-04-29 20:43:06.930680,0:00:00.494046,0:00:00.165440, 30000
Sniffeur,2025-04-29 20:43:06.436634,2025-04-29 20:43:07.113704,2025-04-29 20:43:07.113704,0:00:00.677070,0:00:00.183024, 40000
Sniffeur,2025-05-01 17:13:58.682112,2025-05-01 17:13:59.344719,2025-05-01 17:13:59.344719,0:00:00.662607,0:00:00.662607, 10000
Sniffeur,2025-05-01 17:13:58.682112,2025-05-01 17:14:00.543010,2025-05-01 17:14:00.543010,0:00:01.860898,0:00:01.198291, 20000
Sniffeur,2025-05-01 17:13:58.682112,2025-05-01 17:14:02.492199,2025-05-01 17:14:02.492199,0:00:03.810087,0:00:01.949189, 30000
Sniffeur,2025-05-01 17:13:58.682112,2025-05-01 17:14:05.778823,2025-05-01 17:14:05.778823,0:00:07.096711,0:00:03.286624, 40000
Sniffeur,2025-05-01 17:17:59.068260,2025-05-01 17:17:59.949712,2025-05-01 17:17:59.949712,0:00:00.881452,0:00:00.881452, 10000
Sniffeur,2025-05-01 17:17:59.068260,2025-05-01 17:18:00.708261,2025-05-01 17:18:00.708261,0:00:01.640001,0:00:00.758549, 20000
Sniffeur,2025-05-01 17:17:59.068260,2025-05-01 17:18:01.907145,2025-05-01 17:18:01.907145,0:00:02.838885,0:00:01.198884, 30000
Sniffeur,2025-05-01 17:17:59.068260,2025-05-01 17:18:03.153102,2025-05-01 17:18:03.153102,0:00:04.084842,0:00:01.245957, 40000
Sniffeur,2025-05-01 17:20:17.883755,2025-05-01 17:20:19.171314,2025-05-01 17:20:19.171314,0:00:01.287559,0:00:01.287559, 10000
Sniffeur,2025-05-01 17:20:17.883755,2025-05-01 17:20:20.654190,2025-05-01 17:20:20.654190,0:00:02.770435,0:00:01.482876, 20000
Sniffeur,2025-05-01 17:20:17.883755,2025-05-01 17:20:22.459065,2025-05-01 17:20:22.459065,0:00:04.575310,0:00:01.804875, 30000
Sniffeur,2025-05-01 17:20:17.883755,2025-05-01 17:20:25.221067,2025-05-01 17:20:25.221067,0:00:07.337312,0:00:02.762002, 40000
Sniffeur,2025-05-01 17:22:34.799637,2025-05-01 17:22:36.067546,2025-05-01 17:22:36.067546,0:00:01.267909,0:00:01.267909, 10000
Sniffeur,2025-05-01 17:22:34.799637,2025-05-01 17:22:37.250430,2025-05-01 17:22:37.250430,0:00:02.450793,0:00:01.182884, 20000
Sniffeur,2025-05-01 17:22:34.799637,2025-05-01 17:22:40.903021,2025-05-01 17:22:40.903021,0:00:06.103384,0:00:03.652591, 30000
Sniffeur,2025-05-01 17:22:34.799637,2025-05-01 17:22:44.160223,2025-05-01 17:22:44.160223,0:00:09.360586,0:00:03.257202, 40000
Sniffeur,2025-05-01 17:28:07.284723,2025-05-01 17:28:09.343383,2025-05-01 17:28:09.343383,0:00:02.058660,0:00:02.058660, 10000
Sniffeur,2025-05-01 17:28:07.284723,2025-05-01 17:28:11.882976,2025-05-01 17:28:11.882976,0:00:04.598253,0:00:02.539593, 20000
Sniffeur,2025-05-01 17:28:07.284723,2025-05-01 17:28:14.861024,2025-05-01 17:28:14.861024,0:00:07.576301,0:00:02.978048, 30000
Sniffeur,2025-05-01 17:28:07.284723,2025-05-01 17:28:17.830841,2025-05-01 17:28:17.830841,0:00:10.546118,0:00:02.969817, 40000
Sniffeur,2025-05-01 17:33:52.975607,2025-05-01 17:33:54.573871,2025-05-01 17:33:54.573871,0:00:01.598264,0:00:01.598264, 10000
Sniffeur,2025-05-01 17:33:52.975607,2025-05-01 17:33:55.929849,2025-05-01 17:33:55.929849,0:00:02.954242,0:00:01.355978, 20000
Sniffeur,2025-05-01 17:33:52.975607,2025-05-01 17:33:57.260625,2025-05-01 17:33:57.260625,0:00:04.285018,0:00:01.330776, 30000
Sniffeur,2025-05-01 17:33:52.975607,2025-05-01 17:33:58.418255,2025-05-01 17:33:58.418255,0:00:05.442648,0:00:01.157630, 40000
Sniffeur,2025-05-01 17:34:24.505292,2025-05-01 17:34:25.903454,2025-05-01 17:34:25.903454,0:00:01.398162,0:00:01.398162, 10000
Sniffeur,2025-05-01 17:34:24.505292,2025-05-01 17:34:27.265184,2025-05-01 17:34:27.265184,0:00:02.759892,0:00:01.361730, 20000
Sniffeur,2025-05-01 17:34:24.505292,2025-05-01 17:34:28.686732,2025-05-01 17:34:28.686732,0:00:04.181440,0:00:01.421548, 30000
Sniffeur,2025-05-01 17:34:24.505292,2025-05-01 17:34:31.165860,2025-05-01 17:34:31.165860,0:00:06.660568,0:00:02.479128, 40000
Sniffeur,2025-05-01 17:37:39.801045,2025-05-01 17:37:41.159351,2025-05-01 17:37:41.159351,0:00:01.358306,0:00:01.358306, 10000
Sniffeur,2025-05-01 17:37:39.801045,2025-05-01 17:37:43.712268,2025-05-01 17:37:43.712268,0:00:03.911223,0:00:02.552917, 20000
Sniffeur,2025-05-01 17:37:39.801045,2025-05-01 17:37:46.883298,2025-05-01 17:37:46.883298,0:00:07.082253,0:00:03.171030, 30000
Sniffeur,2025-05-01 17:37:39.801045,2025-05-01 17:37:48.652706,2025-05-01 17:37:48.652706,0:00:08.851661,0:00:01.769408, 40000
Sniffeur,2025-05-01 17:38:31.383490,2025-05-01 17:38:32.328782,2025-05-01 17:38:32.328782,0:00:00.945292,0:00:00.945292, 10000
Sniffeur,2025-05-01 17:38:31.383490,2025-05-01 17:38:33.160076,2025-05-01 17:38:33.160076,0:00:01.776586,0:00:00.831294, 20000
Sniffeur,2025-05-01 17:38:31.383490,2025-05-01 17:38:34.160760,2025-05-01 17:38:34.160760,0:00:02.777270,0:00:01.000684, 30000
Sniffeur,2025-05-01 17:38:31.383490,2025-05-01 17:38:35.513869,2025-05-01 17:38:35.513869,0:00:04.130379,0:00:01.353109, 40000
Sniffeur,2025-05-01 17:42:11.821744,2025-05-01 17:42:12.542035,2025-05-01 17:42:12.542035,0:00:00.720291,0:00:00.720291, 10000
Sniffeur,2025-05-01 17:42:11.821744,2025-05-01 17:42:14.077625,2025-05-01 17:42:14.077625,0:00:02.255881,0:00:01.535590, 20000
Sniffeur,2025-05-01 17:42:11.821744,2025-05-01 17:42:15.742228,2025-05-01 17:42:15.742228,0:00:03.920484,0:00:01.664603, 30000
Sniffeur,2025-05-01 17:42:14.699065,2025-05-01 17:42:16.491375,2025-05-01 17:42:16.491375,0:00:01.792310,0:00:01.792310, 10000
Sniffeur,2025-05-01 17:42:11.821744,2025-05-01 17:42:17.693504,2025-05-01 17:42:17.693504,0:00:05.871760,0:00:01.951276, 40000
Sniffeur,2025-05-01 17:42:14.699065,2025-05-01 17:42:18.485669,2025-05-01 17:42:18.485669,0:00:03.786604,0:00:01.994294, 20000
Sniffeur,2025-05-01 17:42:14.699065,2025-05-01 17:42:20.141954,2025-05-01 17:42:20.141954,0:00:05.442889,0:00:01.656285, 30000
Sniffeur,2025-05-01 17:42:14.699065,2025-05-01 17:42:21.692279,2025-05-01 17:42:21.692279,0:00:06.993214,0:00:01.550325, 40000
Sniffeur,2025-05-01 17:47:02.541883,2025-05-01 17:47:04.054920,2025-05-01 17:47:04.054920,0:00:01.513037,0:00:01.513037, 10000
