Open time,Open,High,Low,Close
1503058134000,4336.52,4336.52,4336.52,4336.52
1503058135000,4336.52,4336.52,4336.52,4336.52
1503058136000,4336.52,4336.52,4336.52,4336.52
1503058137000,4336.52,4336.52,4336.52,4336.52
1503058138000,4336.52,4336.52,4336.52,4336.52
1503058139000,4336.52,4336.52,4336.52,4336.52
1503058140000,4336.52,4336.52,4336.52,4336.52
1503058141000,4336.52,4336.52,4336.52,4336.52
1503058142000,4336.52,4336.52,4336.52,4336.52
1503058143000,4336.52,4336.52,4336.52,4336.52
1503058144000,4336.52,4336.52,4336.52,4336.52
1503058145000,4336.52,4336.52,4336.52,4336.52
1503058146000,4336.52,4336.52,4336.52,4336.52
1503058147000,4336.52,4336.52,4336.52,4336.52
1503058148000,4336.52,4336.52,4336.52,4336.52
1503058149000,4336.52,4336.52,4336.52,4336.52
1503058150000,4336.52,4336.52,4336.52,4336.52
1503058151000,4336.52,4336.52,4336.52,4336.52
1503058152000,4336.52,4336.52,4336.52,4336.52
1503058153000,4336.52,4336.52,4336.52,4336.52
1503058154000,4336.52,4336.52,4336.52,4336.52
1503058155000,4336.52,4336.52,4336.52,4336.52
1503058156000,4336.52,4336.52,4336.52,4336.52
1503058157000,4336.52,4336.52,4336.52,4336.52
1503058158000,4336.52,4336.52,4336.52,4336.52
1503058159000,4336.52,4336.52,4336.52,4336.52
1503058160000,4336.52,4336.52,4336.52,4336.52
1503058161000,4336.52,4336.52,4336.52,4336.52
1503058162000,4336.52,4336.52,4336.52,4336.52
1503058163000,4336.52,4336.52,4336.52,4336.52
1503058164000,4336.52,4336.52,4336.52,4336.52
1503058165000,4336.52,4336.52,4336.52,4336.52
1503058166000,4336.52,4336.52,4336.52,4336.52
1503058167000,4336.52,4336.52,4336.52,4336.52
1503058168000,4336.52,4336.52,4336.52,4336.52
1503058169000,4336.52,4336.52,4336.52,4336.52
1503058170000,4336.52,4336.52,4336.52,4336.52
1503058171000,4336.52,4336.52,4336.52,4336.52
1503058172000,4336.52,4336.52,4336.52,4336.52
1503058173000,4336.52,4336.52,4336.52,4336.52
1503058174000,4336.52,4336.52,4336.52,4336.52
1503058175000,4336.52,4336.52,4336.52,4336.52
1503058176000,4336.52,4336.52,4336.52,4336.52
1503058177000,4336.52,4336.52,4336.52,4336.52
1503058178000,4336.52,4336.52,4336.52,4336.52
1503058179000,4336.52,4336.52,4336.52,4336.52
1503058180000,4336.52,4336.52,4336.52,4336.52
1503058181000,4336.52,4336.52,4336.52,4336.52
1503058182000,4336.52,4336.52,4336.52,4336.52
1503058183000,4336.52,4336.52,4336.52,4336.52
1503058184000,4336.52,4336.52,4336.52,4336.52
1503058185000,4336.52,4336.52,4336.52,4336.52
1503058186000,4336.52,4336.52,4336.52,4336.52
1503058187000,4336.52,4336.52,4336.52,4336.52
1503058188000,4336.52,4336.52,4336.52,4336.52
1503058189000,4336.52,4336.52,4336.52,4336.52
1503058190000,4336.52,4336.52,4336.52,4336.52
1503058191000,4336.52,4336.52,4336.52,4336.52
1503058192000,4336.52,4336.52,4336.52,4336.52
1503058193000,4336.52,4336.52,4336.52,4336.52
1503058194000,4336.52,4336.52,4336.52,4336.52
1503058195000,4336.52,4336.52,4336.52,4336.52
1503058196000,4336.52,4336.52,4336.52,4336.52
1503058197000,4336.52,4336.52,4336.52,4336.52
1503058198000,4336.52,4336.52,4336.52,4336.52
1503058199000,4336.52,4336.52,4336.52,4336.52
1503058200000,4336.52,4336.52,4336.52,4336.52
1503058201000,4336.52,4336.52,4336.52,4336.52
1503058202000,4336.52,4336.52,4336.52,4336.52
1503058203000,4336.52,4336.52,4336.52,4336.52
1503058204000,4336.52,4336.52,4336.52,4336.52
1503058205000,4336.52,4336.52,4336.52,4336.52
1503058206000,4336.52,4336.52,4336.52,4336.52
1503058207000,4336.52,4336.52,4336.52,4336.52
1503058208000,4336.52,4336.52,4336.52,4336.52
1503058209000,4336.52,4336.52,4336.52,4336.52
1503058210000,4336.52,4336.52,4336.52,4336.52
1503058211000,4336.52,4336.52,4336.52,4336.52
1503058212000,4336.52,4336.52,4336.52,4336.52
1503058213000,4336.52,4336.52,4336.52,4336.52
1503058214000,4336.52,4336.52,4336.52,4336.52
1503058215000,4336.52,4336.52,4336.52,4336.52
1503058216000,4336.52,4336.52,4336.52,4336.52
1503058217000,4336.52,4336.52,4336.52,4336.52
